Name,Effect
Restraining Order,"Forces the attacker out when hit, once each switch-in."
Retribution Blow,"Uses Hyper Beam if any foe uses an stat boosting move."
Retriever,"Retrieves item on switch-out."
Revelation,"Scene x2 – Free Action
Trigger: Someone within 10 meters uses a Damaging Dance Move
Effect: The user may immediately use the triggering Move as a Standard Action interrupt.
Bonus: Whenever the user uses a Dance Move, they gain +2 to Accuracy Rolls until the end of their next turn"
Rhythmic,"Deals 10% more damage for each repeated move use."
Ripen,"Static
Any numeric benefits of Berry Food Buffs the user trades in are doubled. (Oran Berries restore 10 HP, Liechi
increases Attack by +2 CS, Jaboca causes ¼ Hit Point loss, Occa Weakens a Move 2 stages, etc.). This does not
increase the number of statuses cured, Scene Moves restored, stats lowered by suppressants, or allow
triggering at double the usual HP one must be at."
Riptide,"Boosts Water-type moves by 1.3x, or 1.8x when below 1/3 HP."
Rising Dough,"Casts Sticky Web on entry. Lasts 7 turns."
Rivalry,"Static
Whenever the user deals direct damage to a target of the same gender, increase the Damage dealt by +5."
Rock Head,"Static
The user ignores the Recoil keyword when attacking."
Rocket,"Scene – Swift Action
The user’s Sky capability is increased by +3 until the end of the user’s next turn, and the user goes first on the
following round, ignoring initiative; Interrupt Moves may not be used in response to their Moves that round"
Rockhard Will,"Boosts Rock-type moves by 1.2x, or 1.5x when under 1/3 HP."
Rocky Payload,"Scene - Free Action
Trigger: The user uses Fling.
Connection - Fling. The user may use Fling as if it was a Flying-Type or Rock-Type move.
Bonus: The user gains STAB on Rock-Type Moves, also it may ignore the effects of held Items in its possession.
The user may drop Held Items At-Will as a Free Action during their turn, even if they have Status Afflictions
that prevent them from taking actions."
Root Down,"At-Will – Shift Action
Connection - Ingrain. While the user has the Ingrain Coat, they may activate this Ability to gain Temporary Hit
Points equal to 1/16th of their Max Hit Points."
Rose Garden,"Spreads two layers of Toxic Spikes on switch-in."
Rough Skin,"At-Will - Free Action, Reaction
Trigger: The user is hit by a damaging Melee Attack
Effect: The attacker loses a tick of Hit Points."
Roundhouse,"Static
Kick moves get +1 Accuracy
Scene x2 - Free Action
Trigger: The user uses a Kick move
Effect : Damages foes weaker defenses."
Rude Awakening,"Raises all stats becomes immune to sleep after waking up."
Run Away,"Static
The user cannot be Slowed, Stuck, or Trapped. The user does not provoke Attacks of Opportunity by Shifting."
Run Up,"Static
If the user moves in a straight line to a target and uses a damaging Melee Attack, it may add the number of
meters traveled in a direct line as Bonus Damage to a Damage Roll."
Sacred Bell,"Static
The user resists Dark and Ghost-Type Damage one step further.Defensive."
Sage Power,"Scene – Swift Action
Trigger: The user uses a Move
Effect: The user gains a +10 bonus to damage rolls until the end of the Scene, including on the triggering
Move. However, until the end of the Scene, they may only use Moves that they have already used in this
Scene before triggering this Ability (the triggering Move is included in those usable)(bonus damage is applied
only to special moves)."
Salt Circle,"Prevents opposing pokemon from fleeing on entry."
Samba,"Striker + Dancer"
Sand Bender,"Sand Stream + Sand Force."
Sand Force,"Static
While in a Sandstorm, the user’s Ground, Rock, and Steel-Type Direct-Damage Moves deal +5 Damage.
Additionally, the user is immune to damage from Sandstorms"
Sand Guard,"Blocks priority and reduces special damage by 1/2 in sand."
Sand Pit,"Attacks with 20BP Sand Tomb on switch-in."
Sand Rush,"Static
While the Weather is a Sandstorm, the user gains +4 Speed Combat Stages. Additionally, the user is immune
to damage from Sandstorms"
Sand Song,"At-Will - Free-Action
trigger: 'The user uses a damaging move with the Sound type moves.
The move is changed to be Ground-type and it's DB is increased by 2."
Sand Spit,"Scene – Free Action, Reaction
Trigger: The user is damaged by an attack from a foe within 2m
Connection – Sand Attack. The user attacks the triggering foe with Sand Attack as a Free Action."
Sand Stream,"Scene – Free Action
The Weather changes to a Sandstorm for 5 rounds. As a static effect, the user is not damaged by Sandstorm"
Sand Veil,"Static
The user’s Evasion is increased by +2 while in a Sandstorm. The user and allies adjacent to the user are not
damaged by the Sandstorm.Defensive."
Sap Sipper,"Static
The user is immune to the damage and effects of Grass Type attacks. If a damaging Grass Type attack hits the
user, the user gains +1 Attack Combat Stage. Defensive."
Scare,"Scene – Swift Action
Target: Pokémon or Trainer within 5 meters
Lower the target’s Special Attack 1 Combat Stage."
Scavenger,"Scene - Free Action
Trigger: The user makes a pokemon or trainer faint
The User recovers 3 Ticks of HP."
Schooling,"Daily – Free Action
The user changes to Schooling Forme, and gains Temporary Hit Points eqal to half of its own maximum Hit
Points. The user cannot gain Temporary Hit Points from other sources while in Schooling Forme. When the
user is below half Maximum HP and has no Temporary Hit Points left, they change back into Solo Forme.
Bonus: The user has two sets of base stats; Solo and Schooling. The HP of both forms must be the same."
Scrappy,"Static
Ghost Types are not immune to the user’s Normal and Fighting-Type Moves.User is not affected By Intimidate,
Frighten or Scare."
Scrapyard,"Trigger- The Target is hit by a damaging physical move
Connection – Spikes When the user takes physical damage as a reaction they may use the move Spikes and
apply it to the area immediately around them."
Screen Cleaner,"Daily – Standard Action
All Blessings on the field, both ally and enemy, are removed.
Bonus: The user is immune to non-Blocking Hazards, and destroys them when moving over them. Blocking
Hazards are treated instead as Slow Terrain for the purposes of movement only (the user may still not target
through them), and are destroyed if moved through."
Sea Guardian,"Scene – Swift Action
Trigger: The user is sent out in Rainy Weather or if Weather becomes Rainy
Increase Highest stat by 1 CS."
Seaborne,"Drizzle + Swift Swim."
Seasonal,"Static
The user gains an Ability based on the season. Spring: Run Away Summer: Grass Pelt Autumn: Rivalry Winter:
Thick Fat"
Seaweed,"Static
Grass becomes neutral against fire and vice-versa (user gains +1 step resistance to fire).Defensive."
Seed Sower,"Scene - Free Action
Trigger: User is thrown out
Effect: Terrain gets turned to Grassy"
Self Repair,"Static
Self sufficient + Natural cure."
Self Sufficient,"Static
User recovers 1/2 Tick of HP every turn."
Sequence,"Scene – Free Action
Trigger: The user uses an Electric Attack
For every allied Electric-Type Pokémon cardinally adjacent to the user, raise the user’s Attack and Special
Attack by +1 CS each before calculating damage for the triggering attack. After the attack is resolved, lose all
Combat Stages gained this way."
Serene Grace,"Static
The user’s Effect Range is increased by +2."
Serpent’s Mark,"Static
1d6 upon evolution or upon generation. If an Arbok is bred, it will have the same pattern as its parent. If both
parents are Arboks with different patterns, determine the pattern randomly
Pattern Name - Adv Ability / High Ability
(1) Attack Pattern - Rivalry / Strong Jaw
(2) Crush Pattern - Unnerve / Crush Trap
(3) Fear Pattern - Frighten / Regal Challenge
(4) Life Pattern – Regenerator / Defy Death
(5) Speed Pattern - Run Away / Speed Boost
(6) Stealth Pattern - Instinct / Infiltrator"
Set Ablaze,"Inflicting burn also inflicts fear."
Shackle,"Scene – Free Action
Shackle creates a Burst 3. All foes in the burst have their movement capabilities halved until the end of their
next turn."
Shadow Dance,"Static
While in a New Moon or under 50% Max Hit Points, the user’s initiative is doubled."
Shadow Shield,"Static
While at full Hit Points, the user resists all damage one step further. Defensive."
Shadow Tag,"Scene – Free Action
Target: An adjacent Trainer or Pokémon
Effect: The target’s shadow becomes pinned to the target’s current spot for 5 turns. During this time, the
target is Slowed and Trapped, and cannot move more than 5 meters from the spot their shadow is pinned to;
even being Pushed and other forced movement effects cannot force the target to Move more than 5 meters
from that spot."
Shallow Grave,"Revives at 25% HP once after fainting in fog."
Sharing Is Caring,"Stat changes are shared between all battlers."
Sharp Edges,"1/6 HP damage when touched."
Sharpness,"Static
: Cutting moves gain +2DB"
Shed Skin,"Scene – Swift Action
: The user is cured of one of Paralysis, Freezing, Burns, Poison,Frostbite,Blind or Sleep"
Sheer Force,"Static
If a Pokémon with Sheer Force uses a Move with a secondary effect that triggers during Accuracy Roll,
increase that Move’s Damage Base by +2. However, the secondary effects of Move never trigger. This does
not affect Critical Hits, or moves with increased Critical Hit ranges"
Shell Armor,"Static
The user is immune to Critical Hits; they are instead normal hits.User Lowers damage received by 2 for every 5
level. Defensive"
Shell Cannon,"Scene – Free Action
When Blastoise uses Aqua Jet, Dive, Flash Cannon, Hydro Cannon, Hydro Pump, Tackle, Waterfall, Water Gun,
and Water Spout they may activate this Ability to gain +2 to their Accuracy Roll and deals +4 Bonus Damage
with Damage Rolls. When using Aqua Jet, Dive, Tackle, or Waterfall, Blastoise must shift in a straight line to
their target to activate this Ability, but their Overland and Swim Speeds are increased by +2 when doing so."
Shell Shield,"Scene – Free Action
Connection - Withdraw. The user may activate this Ability to use Withdraw as an Interrupt and a Free Action.
The user must still use a Shift Action to stop being Withdrawn."
Shield Dust,"Static
The user ignores the secondary effects that trigger during Accuracy Roll of damaging Moves that target the
user. For example, Flamethrower can never inflict the Burn Condition.Ignores entry Hazards. Defensive."
Shields Down,"Static
The user has two sets of base stats; Meteor and Core. The HP of both forms must be the same. When the user
is in Meteor Forme and are reduced to half Maximum HP or lower, they change to Core Forme. The user
returns to Meteor Forme while outside of combat if above half Maximum HP."
Shiny Lightning,"Grants a 1.2x accuracy boost. Thunder never misses."
Shocking Jaws,"Static
The user has the Damage Base of all Bitting Moves increased by +1 additionally bitting moves can paralyze on
18+ and if the move has a paralyze chance paralye range increased by 2;"
Shocking Maw,"Strong Jaw + Bite moves have 50% paralysis chance."
Short Circuit,"Static
User gains Last Chance with electric type moves."
Showdown Mode,"Ambush + Violent Rush."
Sidewinder,"First biting move each entry gets +1 priority. Resets on KO."
Sighting System,"Scence x2
If User would miss a move user may act after target to hit without accuracy checks."
Silk Threads,"Static
Connection - String Shot. Whenever the user uses “String Shot”, the target becomes Slowed until the end of
their next turn."
Simple,"Static
When the Pokémon’s Combat Stages are altered, double the amount of Combat Stages they are raised or
lowered."
Skill Link,"Scene – Free Action
Trigger: The user hits with a Move with the Five Strike keyword.
The Triggering Move automatically hits 5 Times"
