Attack Name,Type,Class,Frequency,Range,AC,DB,Effect,Versatile Effect,Attack Tier
Molten Rupture,Fire,Physical,EOT,"4, Ranged Blast 2, Groundsource",6,8,Molten Rupture may be used as a Full Action to treat it as if it were Ground Type instead. ,--,Tier 2
Mystical Fire,Fire,Special,EOT,"6, 1 Target",5,8,"If the Target is suffering from a Mental Affliction, they become Burned. ",--,Tier 2
Overheat,Fire,Special,Scene,"Close Blast 3, Full Action, Reckless",6,13,"After Damage Calculations, lower the Offensive Stat used for this Attack by -2 CS. Smite",--,Tier 3
Pyro Ball,Fire,Physical,Scene x2,"5, 1 Target",4,10,"If the user has at least +3 CS in Speed, this has the Sureshot Keyword. The user may perform this Attack as a Standard + Movement Action to cause the Target to become Burned on a hit. Smite",--,Tier 3
Raging Fire,Fire,Physical,EOT,"6, Ranged Blast 2",6,8,"If the user is Enraged this is changed to 8, Ranged Blast 3, Full Action and Targets cannot apply Physical Evasion  against this Attack.",--,Tier 2
Shell Trap,Fire,Special,Scene,"Melee, 1 Target, Trigger",4,13,Shell Trap can only be used as a Standard Action + Reaction when the user is hit by an Adjacent Enemy and it must only Target them. Shell Trap is a Critical Hit on a 17+. Smite.,--,Tier 3
Sunny Day,Fire,Status,Scene x2,"Blessing, Versatile, Weather",,,"Blessing - Any user affected by Sunny Day may activate it as a Free Action when using a Fire Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Sunny Day may be Activated 3 times and then disappears. While this Blessing persists, the Weather becomes Sunny.","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Temper Flare,Fire,Physical,EOT,"Melee, 1 Target",4,8,"If the user's last Attack missed or they are Enraged, Temper Flare is DB 13 instead.",--,Tier 2
Torch Song,Fire,Special,Scene x2,"Close Blast 2, Sonic",6,6,The user's Special Attack is raise by +1 CS on a Miss or 16+. Spirit Surge.,--,Tier 2
Twin Flames,Fire,Special,EOT,"6, 2 Targets",6,5,Twin Flames Burns all Targets on a roll of 18+,--,Tier 1
Wildfire,Fire,Status,EOT,"Close Blast 3, Versatile",5,,All Targets become Burned. All Targets that were already Burned lose two Ticks of Hit Points and cannot cure Burn during their next Save Check. Any Fire Typed Allies within the Range of this Attack instead gain 2 Ticks of Temporary Hit Points.,All Targets become Burned. ,Tier 1
Will-O-Wisp,Fire,Status,EOT,"6, 1 Target, Versatile",3,,"The Target becomes Burned. If the Target is already Burned, they become Cursed or Suppressed instead. ","The Target becomes Burned. When used this way, the AC becomes 5.",Tier 1
Acrobatics,Flying,Physical,EOT,"Melee, Dash, 1 Target",3,6,"At the start of your Turn you may declare the usage of Acrobatics. During this Turn you do not Provoke Attacks of Opportunity. You must then use this Attack while activating the Dash Keyword. if you do so, the Damage Base becomes 10 instead. ",--,Tier 2
Aerial Ace,Flying,Physical,EOT,"Melee, 1 Target, Dash",,6,"If the Dash Keyword is Activated, Aerial Ace is a Critical hit on a roll of 18+. Sureshot.",--,Tier 1
Aerial Combat,Flying,Physical,Scene x2,"Melee, 1 Target",4,12,"If the Target has the Flier Capability or the Weather is Windy, they cannot apply Evasion against this Attack. ",--,Tier 3
Air Cutter,Flying,Special,At-Will,Close Blast 2,5,5,Air Cutter is a Critical Hit on a roll of 18+ or 16+ if the Weather is Windy.,--,Tier 1
Air Slash,Flying,Special,EOT,"6, 1 Target",4,8,"On a roll of 17+, the Target becomes Wounded. If the Weather is Windy, the Target cannot apply Speed Evasion  against Air Slash.",--,Tier 2
Beak Blast,Flying,Physical,Scene x2,"Close Blast 2, Full Action, Priority",6,10,"Beak Blast must be declared at the start of the round as a Priority Action. If the user is hit by a Melee attack this round, the triggering attacker is Burned. At the end of the round, the user may use a Movement Action, then attacks with Beak Blast.",--,Tier 3
Bounce,Flying,Physical,EOT,"Melee, 1 Target",3,8,"The user may declare the usage of Bounce at the start of their Turn and must use this Attack after their Movement Action is used. When Moving this turn, they use the Jump Capability as a Free Action, going up to 4m in the air and ignoring Attacks of Opportunity. ",--,Tier 2
Brave Bird,Flying,Physical,Scene x2,"Melee, 1 Target, Dash, Recoil 1/3",3,12,"If the Dash Keyword is Activated, Brave Bird has Sureshot against Targets with lower Speed than them. ",--,Tier 3
Chatter,Flying,Special,EOT,"4, 1 Target, Sonic",4,7,"On a roll of 16+, the Target becomes Enraged. ",--,Tier 1
Concussive Burst,Flying,Special,EOT,"4, 1 Target",4,6,"Targets hit by this Attack Slide up to X Meters (Away), where X is 6 minus their Weight Class.",--,Tier 1
Cyclone,Flying,Special,EOT,"6, Ranged Blast 3, Full Action",6,8,"If the Weather is Windy, this has the Smite Keyword. After this Attack’s Resolution, you may choose to destroy all Hazards within this Range or Slide them up to 3m. Spirit Surge. ",--,Tier 2
Defog,Flying,Status,Scene x2,"Field, Versatile",,,"You may Destroy/Remove any amount of the following:
» Weather on the Field
» Blessings on the Field
» Coats on the Field
» Hazards on the Field ","When used this way, the range becomes Close Blast 2 and has an AC of 4. Destroy any Hazards within the Range of this Attack and any Coats on Combatants hit by this Attack.",Tier 2
Drill Peck,Flying,Physical,At-Will,"Melee, 1 Target",3,8,"On a roll of 17+, the Target becomes Wounded.",--,Tier 2
Dual Wingbeat,Flying,Physical,EOT,"4, 1 Target",4,4,Double Strike.,--,Tier 1
Feather Dance,Flying,Status,EOT,"Burst 1, Versatile",4,,All Enemies have their Attack lowered by -3 CS and have all Coats removed. You may choose to remove any Coats affecting Allies within this range as well. ,"Remove all Coats from the Target. When used this way, the Range becomes Melee, 1 Target; or Self. ",Tier 1
Feather Storm,Flying,Special,Scene x2,"8, Ranged Blast 2, Full Action",5,10,"If the Weather is Windy, you may also use this Attack as if it’s Range was 6, 3 Targets, Full Action.",--,Tier 3
Gale Force,Flying,Special,EOT,"6, 1 Target",3,6,"The Target is Tripped on a roll of 16+. If the Weather is Windy, this Effect Range automatically Triggers if they fail a CR 4 Acrobatics Check. Slide 4 (Away).",--,Tier 1
Gust,Flying,Special,At-Will,"4, 1 Target",3,4,"If the Weather is Windy, this Attack may be used as if it were 4, Ranged Blast 2.",--,Tier 1
Heavy Winds,Flying,Status,Scene x2,"Blessing, Versatile, Weather",,,"Blessing - Any user affected by Heavy Winds may activate it as a Free Action when using a Flying Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Heavy Winds may be Activated 3 times and then disappears. While this Blessing persists, the Weather becomes Windy.","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Hurricane,Flying,Special,Scene x2,"6, 1 Target",5,12,"After this Attack’s Resolution, You may Slide any number of Targets or Hazards within this Range or Adjacent to Targets up to 3m. If the Weather is Windy, the Range may be used as if it were 6, Ranged Blast 3. Spirit Surge. Smite",--,Tier 3
Mach Speed,Flying,Physical,EOT,"Melee, 1 Target, Dash, Priority",3,8,"If the Weather is Windy or the Dash Keyword is Activated, the Target cannot apply Speed Evasion against this Attack.",--,Tier 2
Molt Feathers,Flying,Status,Scene ,"Self, Movement Action",,,"The user may cure as many Physical Afflictions as they wish that affect them, then they become Vulnerable until the end of the next Round.",--,Tier 2
Mirror Move,Flying,Special,Scene x2,"6, 1 Target",,,Use the Attack the Target has used on their last turn. You may choose new Targets for the Attack. The Attack may deal Damage as if it were Physical or Special. Sureshot,--,Tier 2
Peck,Flying,Physical,At-Will,"Melee, 1 Target",2,4,"On a roll of 16+, the Target becomes Wounded.",--,Tier 1
Pluck,Flying,Physical,At-Will,"Melee, 1 Target",3,6,"The user may perform a Disarm Manuever as a Free Action against the Target. If used this way, Disarm automatically hits.",--,Tier 1
Quick Strike,Flying,Physical,EOT,"Melee, 1 Target, Dash",3,7,"After damage Calculations the user may disengage as a Free Action. If you activate the Dash Keyword or attack a Flanked Target, this Attack has the Sureshot Keyword.",--,Tier 1
Raven Claw,Flying,Physical,Scene x2,"Melee, 1 Target",3,9,"Raven Claw is a Critical Hit on a roll of 18+. If the Target has any Mental Afflictions, this Crit Range is extended by +1 per Mental Affliction they have.",--,Tier 2
Razor Wind,Flying,Special,Scene x2,"10, X Targets, Set-Up",7,8,"Charge Effect: You instead gain 2 Charge Tokens if the Weather is Windy. If you have at least 3 Charge Tokens, you treat the Weather as if it were Windy for any other Attack or Ability.
Resolution Effect: X is equal to 1+ the number of Charge Tokens expended. Smite",--,Tier 2
Roost,Flying,Status,Scene x3,"Self, Versatile",,,The user restores 5 Ticks of Hit points. The user loses the Flier Capability and Ground Immunity (Treated as Neutral) until the end of the next Round if they have it.,Same as the normal Effects but it also costs a Movement Action and it only restores two Ticks of Hit Points.,Tier 2
Sky Attack,Flying,Physical,Scene x2,"Melee, Pass, Set-Up",,10,"Charge Effect: The user flies up, leaving the Field and becoming Untargetable. When the User starts their turn with Sky Attack Charge Tokens, they immediately use Sky Attack’s Resolution Effect as a Standard Action. If the User is unable to do so they lose all Sky Attack Charge Tokens, reappear anywhere on the Field, and lose Untargetable.
Resolution Effect: The user reappears anywhere on the Field. The user may then activate Sky Attack’s Pass keyword, ignoring the usual requirements, then use Sky Attack. Sureshot.",--,Tier 3
Sky Bomb,Flying,Physical,Scene x2,"Burst 2, Set-Up",6,10,"Charge Effect: The user flies up, leaving the Field and becoming Untargetable. When the User starts their turn with Sky Bomb Charge Tokens, they immediately use Sky Bomb’s Resolution Effect as a Standard Action. If the User is unable to do so they lose all Sky Bomb Charge Tokens, reappear anywhere on the Field, and lose Untargetable. 
Resolution Effect: The user reappears anywhere on the Field and uses Sky Bomb. The user then loses Untargetable. Smite.",--,Tier 3
Sky Drop,Flying,Physical,Scene x2,"Special, Set-Up",,,"Charge Effect: This Effect can only be used if you have Dominance in a Grapple with an Enemy. You and the Grappled Enemy ascend 20m into the air to a limit of 100m. While you have Charge Tokens for this Attack, members of the Grapple cannot Target Combatants outside the Grapple or take an Action that would end the Grapple. If you start two consecutive Turns at the same height, the Grappler with Dominance uses the Resolution Effect as a Free Action on the other Grappler using both Grapplers’ combined Sky Drop Charge Tokens, regardless of whether it’s on their Move List.

Resolution Effect: The user reappears anywhere on the Field, placing their Target in an adjacent space before using Sky Drop on them. X is equal to triple the number of Charge Tokens expended. If at least 5 Charge Tokens were expended, this Attack instead sets the Target’s HP to 0. Sureshot, Unstoppable.",--,Tier 3
Tailwind,Flying,Status,Scene x2,"3, 1 Target or Self; Coat, Versatile",,,The Target gains a Tailwind Coat. Combatants affected by a Tailwind Coat cannot be Slowed and have bonus Evasion equal to double their Tier Level. A Tailwind Coat can be expended as a Reaction to use an Attack as if it had the Priority Keyword or cause a Ranged Attack to miss them.,The Target gains a Tailwind Coat. The Tailwind Coat can be expended as a Reaction when using an Attack to ignore Speed Evasion or when they're hit by a Ranged Attack to resist it by an additional damage step.,Tier 2
Tempest,Flying,Status,Scene x2,"6, Ranged Blast 3, Versatile",,,"Tempest Hazards are created in the Range of this Attack. Whenever the user moves from their current space, the Hazards are removed. 

Tempest Hazards - When Tempest Hazards are created, note where the Attacker is on the Field, which is the direction the wind is coming from. Whenever a Combatant would move into a Tempest Hazard, if they are moving against the wind, they must make a CR 5 Athletics or Acrobatics Check. If they fail this check, they cannot enter the space and Slide to the nearest Space without a Tempest Hazard. Otherwise, they treat it as Slowed Terrain. Additionally, Ranged Attacks that would cross a Tempest Hazard have a -3 Accuracy Penalty. ",Same as the normal Effects but the Hazards are removed at the end of the Round and the CR is 3.,Tier 2
Wind Blades,Flying,Physical,EOT,"6, 1 Target",3,7,Wind Blades is a Critical Hit on a roll of 18+,--,Tier 1
Wind Shift,Flying,Status,Scene x2,"3, 1 Target, Trigger",,,"Wind Shift can only be used as a Swift Action + Reaction when an Enemy uses a 1 Target, Ranged Attack on an Ally within 3m of you. Choose another Ally within 3m of you or yourself to become the new Target. ",--,Tier 2
Wind Storm,Flying,Status,Scene x2,"Field, Versatile, Weather",,,"The Field becomes Storming for the next 5 Rounds. While the Field is Storming, non Flying Type Enemies lose a Tick of Hit Points at the start of their Turn and Flying Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn. While the Field is Storming, the Weather becomes Windy.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and on a 10 or less, the Field is no longer affected by this Attack.",Tier 2
Wind Wall,Flying,Status,Scene x2,"6, Hazard, Versatile, Trigger",,,"Choose 8 Spaces within the Range of this Attack to create Gale Hazards in such that all 8 Spaces are Adjacent to at least one other Gale Hazard. This Attack may also be Triggered as a Standard Action + Reaction when a Ranged 1 Target or Line Attack is used. If used this way and the Triggering Attack’s Line of Sight would pass through a Gale Hazard, the Attack resisted an Additional Damage Step.

Gale Hazard - Spaces with Gale Hazards are treated as Slow Terrain. Ranged Attacks that Target any Combatant in a Gale Hazard or derive from a Combatant in a Gale Hazard suffer a -3 Penalty to Accuracy.","Same as the normal Effects, but you can only choose 4 Spaces, they must be unoccupied and this can’t use the Trigger Keyword.",Tier 2
