Name,Frequency,Base Effect,Trigger,Target,Keywords,Effect
Frostbite,Static,"Effect: The user gains a bonus to Chilled Effect Ranges equal to their Tier Level (Excluding the one granted by Frostbite). The user’s Melee Attacks that do not have a Chilled Effect Range gain one at 18+. While an Enemy is Chilled by you and they’re hit by an Attack, they lose a Tick of Hit Points. An Enemy cannot lose more than 3 Ticks this way per Round.  ",,,,"Static
Effect: The user gains a bonus to Chilled Effect Ranges equal to their Tier Level (Excluding the one granted by Frostbite). The user’s Melee Attacks that do not have a Chilled Effect Range gain one at 18+. While an Enemy is Chilled by you and they’re hit by an Attack, they lose a Tick of Hit Points. An Enemy cannot lose more than 3 Ticks this way per Round.  "
Gale Surge,At-Will- Swift Action,"Effect: After the Triggering Attack is resolved, choose any number of Targets of the Triggering Attack to Slide up to 3m away from you.
Bonus: The user’s Flying Type Attacks have their Areas of Effect increased by +1. If it's 1-Target, they may instead be used as if they were Blast 2, if desired.",The user hits a Flying Attack,,,"At-Will- Swift Action
Trigger - The user hits a Flying Attack
Effect: After the Triggering Attack is resolved, choose any number of Targets of the Triggering Attack to Slide up to 3m away from you.
Bonus: The user’s Flying Type Attacks have their Areas of Effect increased by +1. If it's 1-Target, they may instead be used as if they were Blast 2, if desired."
Gale Wings,Static,"Effect: The user may perform Flying Type Attacks as if they had the Priority Keyword. While the Weather is Windy, the user cannot trigger Attacks of Opportunity or be Slowed.",,,,"Static
Effect: The user may perform Flying Type Attacks as if they had the Priority Keyword. While the Weather is Windy, the user cannot trigger Attacks of Opportunity or be Slowed."
Gentle Vibe,Scene - Swift Action,"Effect: The user and all Allies within 3m may either cure a Mental Affliction or have their CS reset to their Default Values
Bonus: The user and adjacent allies have a bonus to Save Checks equal to your Tier Level if they’re suffering from a Mental Affliction.",,,,"Scene - Swift Action
Effect: The user and all Allies within 3m may either cure a Mental Affliction or have their CS reset to their Default Values
Bonus: The user and adjacent allies have a bonus to Save Checks equal to your Tier Level if they’re suffering from a Mental Affliction."
Giver,Scene x2 - Swift Action,"Connection - Present. 
Effect: If the user targeted an enemy, the DB is automatically 10 without rolling. If the user targeted an ally, they gain 3 additional Temporary Ticks of Hit Points",The user uses Present,,,"Scene x2 - Swift Action
Trigger - The user uses Present
Connection - Present. 
Effect: If the user targeted an enemy, the DB is automatically 10 without rolling. If the user targeted an ally, they gain 3 additional Temporary Ticks of Hit Points"
Good As Gold,Scene - Standard Action,"Effect: The user gains a Golden Coat. While the user is affected by the Golden Coat, they are resistant to all Damage by an additional Damage Step. The Golden Coat is removed if the user is Critically Hit, hit by an Attack that would be Super Effective or drops below 50% Hit Points. 
Bonus: The user is Immune to Enemy Status Attacks. ",,,Defensive,"Scene - Standard Action
Keywords - Defensive
Effect: The user gains a Golden Coat. While the user is affected by the Golden Coat, they are resistant to all Damage by an additional Damage Step. The Golden Coat is removed if the user is Critically Hit, hit by an Attack that would be Super Effective or drops below 50% Hit Points. 
Bonus: The user is Immune to Enemy Status Attacks. "
Gooey,At-Will - Reaction,"Effect: The Triggering Enemy becomes Slowed and loses -2 CS in Speed. If they are already Slowed, they cannot cure it during their next Save Check. ",The user is Targeted with an Attack by an Adjacent Enemy,,Defensive,"At-Will - Reaction
Keywords - Defensive
Trigger - The user is Targeted with an Attack by an Adjacent Enemy
Effect: The Triggering Enemy becomes Slowed and loses -2 CS in Speed. If they are already Slowed, they cannot cure it during their next Save Check. "
Gore,Scene x2 - Swift Action,"Effect: The Wounded Affliction cannot be cured via Save Checks during their next Save Check, then the Target loses -2 CS in Defense. 
Bonus: The user’s Melee Attacks gain a 17+ Effect Range to cause their Targets to become Wounded.",The user hits an Enemy with the Wounded Affliction,,,"Scene x2 - Swift Action
Trigger - The user hits an Enemy with the Wounded Affliction
Effect: The Wounded Affliction cannot be cured via Save Checks during their next Save Check, then the Target loses -2 CS in Defense. 
Bonus: The user’s Melee Attacks gain a 17+ Effect Range to cause their Targets to become Wounded."
Gorilla Tactics,Scene - Swift Action ,"Effect: The user becomes Enraged and Suppressed and gains +2 CS in Attack or Special Attack. 
Bonus: The user adds a 1d6 Bonus to Damage Rolls for At-Will or Melee Attacks. For each ally that is adjacent to the user, they add an additional 1d6. If the user is Tier 3, these are increased to 2d6 instead. ",,,,"Scene - Swift Action 
Effect: The user becomes Enraged and Suppressed and gains +2 CS in Attack or Special Attack. 
Bonus: The user adds a 1d6 Bonus to Damage Rolls for At-Will or Melee Attacks. For each ally that is adjacent to the user, they add an additional 1d6. If the user is Tier 3, these are increased to 2d6 instead. "
Grass Pelt,Scene - Reaction,"Effect: The Triggering Attack instead misses. After the Attack’s resolution, the user loses the Grass Type for the remainder of the Scene. If the user would have no Type after this, the user is treated as Normal Type. 
Bonus: While the user has the Grass Type or if the Weather is Sunny, the user has Damage Reduction equal to their Tier Value. ",The user is hit with a Super Effective Attack,,Defensive,"Scene - Reaction
Keywords - Defensive
Trigger - The user is hit with a Super Effective Attack
Effect: The Triggering Attack instead misses. After the Attack’s resolution, the user loses the Grass Type for the remainder of the Scene. If the user would have no Type after this, the user is treated as Normal Type. 
Bonus: While the user has the Grass Type or if the Weather is Sunny, the user has Damage Reduction equal to their Tier Value. "
Grassy Surge,Scene - Swift Action,"Connection - Grassy Terrain. 
Effect: You may use Grassy Terrain as a Free Action, however it only lasts until the end of the next Round
Bonus: At the end of the Round, if the Weather is Sunny, you may use a Reaction to gain +1 CS in a Stat of your choice.",,,,"Scene - Swift Action
Connection - Grassy Terrain. 
Effect: You may use Grassy Terrain as a Free Action, however it only lasts until the end of the next Round
Bonus: At the end of the Round, if the Weather is Sunny, you may use a Reaction to gain +1 CS in a Stat of your choice."
Guard Dog,At-Will - Free Action,"Effect: The Target becomes your Escort. You may only have one Escort at a time.
Bonus: While you are adjacent to your Escort, they cannot be Targeted by Ranged 1 Target Attacks. While Adjacent, if they were to be Targeted by any Attack, you may use a Reaction to become the Target instead, then you and the Escort slide into each other's spaces. Whenever your Escort moves, you may Slide into a space that is adjacent to them. 
",,An Ally within 5m,Defensive,"At-Will - Free Action
Keywords - Defensive
Target - An Ally within 5m
Effect: The Target becomes your Escort. You may only have one Escort at a time.
Bonus: While you are adjacent to your Escort, they cannot be Targeted by Ranged 1 Target Attacks. While Adjacent, if they were to be Targeted by any Attack, you may use a Reaction to become the Target instead, then you and the Escort slide into each other's spaces. Whenever your Escort moves, you may Slide into a space that is adjacent to them. 
"
Guts,At-Will - Reaction,"Effect: After the Trigger resolves, the user gains +1 CS in Attack or Defense.
Bonus: While the user has a Physical Affliction, they. have a bonus to Damage Rolls equal to their Tier Value.",The user is hit by an Attack or gains a Physical Affliction,,,"At-Will - Reaction
Trigger - The user is hit by an Attack or gains a Physical Affliction
Effect: After the Trigger resolves, the user gains +1 CS in Attack or Defense.
Bonus: While the user has a Physical Affliction, they. have a bonus to Damage Rolls equal to their Tier Value."
Haunting Spirit,Scene - Free Action,"Effect: The Triggering Enemy becomes Cursed.   
Bonus: Enemies that are Cursed as a result of you gain the Haunted Condition while Cursed. Allies of an Haunted Enemy are treated as having the Cursed Affliction while they're within 2m of them.",The user would Faint from a Damaging Attack,,,"Scene - Free Action
Trigger - The user would Faint from a Damaging Attack
Effect: The Triggering Enemy becomes Cursed.   
Bonus: Enemies that are Cursed as a result of you gain the Haunted Condition while Cursed. Allies of an Haunted Enemy are treated as having the Cursed Affliction while they're within 2m of them."
Hay Fever,At-Will - Swift Action,"Effect: All Enemies within 2m lose a Tick of Hit Points for each Physical Affliction they're affected by.
Bonus: All Enemies without the Breathless Capability that end their Turn within 2m of the user lose a Tick of Hit Points and have a penalty to Save Checks equal to your Tier Level until the end of their Turn. ","The user uses a Bug, Grass or Poison Type Attack",,,"At-Will - Swift Action
Trigger - The user uses a Bug, Grass or Poison Type Attack
Effect: All Enemies within 2m lose a Tick of Hit Points for each Physical Affliction they're affected by.
Bonus: All Enemies without the Breathless Capability that end their Turn within 2m of the user lose a Tick of Hit Points and have a penalty to Save Checks equal to your Tier Level until the end of their Turn. "
Healer,At-Will - Full Action,"Effect: Choose one Effect to apply to the Target. A Combatant can only be affected by each Effect of Healer once per Scene. The Target is cured of all Status Afflictions. The Target restores 5 Ticks of Hit Points. The Target may use the Respite Maneuver as a Free Action on their next Turn, ignoring its restrictions. ",,An Adjacent Ally,,"At-Will - Full Action
Target - An Adjacent Ally
Effect: Choose one Effect to apply to the Target. A Combatant can only be affected by each Effect of Healer once per Scene. The Target is cured of all Status Afflictions. The Target restores 5 Ticks of Hit Points. The Target may use the Respite Maneuver as a Free Action on their next Turn, ignoring its restrictions. "
Healing Aroma,Scene - Standard Action,"Effect: The Target is revived and is set to 3 Ticks of Hit Points
Bonus: Allies that end their Turn adjacent to the user restore a Tick of Hit Points.",,An Adjacent Fainted Ally,,"Scene - Standard Action
Target - An Adjacent Fainted Ally
Effect: The Target is revived and is set to 3 Ticks of Hit Points
Bonus: Allies that end their Turn adjacent to the user restore a Tick of Hit Points."
